1|Tensión||Acosta, Miguel Angel|Argentina|Madera y metal|1.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437196,-58.980025|Premio de los Niños - Concurso Milenio|||
2|Gestación||Adaime, Zulema|Argentina|Hierro|2.jpg|Pellegrini 209|-27.451123,-58.982975||||
3|El vientre de los testigos|28-7-1993|Agosta, Julián|Argentina|Chapa|3.jpg|Av. Avalos 450 - Casa del Médico (frente)|-27.44144,-58.989581||||
4|El escriba||Alonso, José|Argentina|Cemento|4.jpg|Juan D. Perón 159|-27.451385,-58.989754||||
5|Torso|14-7-1961|Alonso, José|Argentina|Piedra|5.jpg|Brown 134|-27.450697,-58.983616||||
6|Torso||Althaus, Carlos|Argentina|Piedra reconstituida|6.jpg|Juan D. Perón 85|-27.452078,-58.988989||||
7|Desde las entrañas|20-3-1997|Alvarez Lomba, Arturo|Argentina|Mármol travertino|7.jpg|Julio A. Roca 586|-27.447405,-58.992432||||
8|Tehuelche||Andina, Emilio|Argentina|Bronce|8.jpg|Mitre 198|-27.448912,-58.985679||||
9|Holocausto universal|18-12-1994|Aranovich, Claudia|Argentina|Acero inoxidable y Hormigon|9.jpg|Plaza 9 de Julio|-27.450797,-58.994023||||
10|Un día ya no tendré miedo|11-3-1997|Archambault, Pascale|Canadá|Mármol travertino|10.jpg|Santa Fe 642|-27.444589,-58.99029|Premio del Público - Nuevo Banco del Chaco|||
11|El hombre y la roca|0-0-1974|Arena, Domingo|Argentina|Cemento|11.jpg|Peatonal Juan D. Perón 43|-27.452349,-58.98871||||
12|Figura con cántaro||Arena, Domingo|Argentina|Madera|12.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.445039,-59.048527||||
14|Abstracción|22-2-1962|Arranz, Fernando|Argentina|Cerámica|14.jpg|Marcelo T. De Alvear 141|-27.44935,-58.987031||||
15|Frustración||Arrigutti, Mario|Argentina|Cemento|15.jpg|Av. Alberdi 198|-27.452542,-58.98823||||
16|San Francisco||Arrigutti, Mario|Argentina|Piedra reconstituida|16.jpg|Brown 500|-27.453432,-58.98057||||
17|Leda||Asali, Oreste|Argentina|Piedra reconstituida|17.jpg|Brown 65|-27.450014,-58.984142||||
18|Bailarina en descanso||Azcarate, Enrique|Argentina|Cemento|18.jpg|Av. Sarmiento 706|-27.445427,-58.980328||||
19|Manantial||Azlor, Ernestina|Argentina|Mármol travertino|19.jpg|Plaza 25 de Mayo de 1810|-27.452316,-58.986404||||
20|El alma|4-4-1962|Badíi, Líbero|Argentina|Bronce|20.jpg|Av. Alberdi 202|-27.452716,-58.988455||||
21|Adolescencia|8-5-1970|Baglietto de Alio, Hermi|Argentina|Bronce|21.jpg|Av. 9 de Julio 106|-27.452099,-58.985553||||
22|Torso I|0-0-1978|Balietti, Alberto|Argentina|Cemento|22.jpg|Marcelo T. De Alvear 147 - Casa de Gobierno|-27.44924,-58.98709||||
23|Torso II||Balietti, Alberto|Argentina|Cemento|23.jpg|Ameghino 220|-27.456074,-58.987997||||
24|Güemes||Balietti, Alberto|Argentina|Piedra reconstituida|24.jpg|Hipólito Yrigoyen 469|-27.453858,-58.981551||||
25|Anunciación|22-2-1962|Barnes, Eduardo|Argentina|Piedra reconstituida|25.jpg|Julio A. Roca 158|-27.45067,-58.988724||||
26|Leon de Damasco|28-2-1978|Basaldella, Mirko|Italia|Bronce|26.jpg|Av. Avalos 955|-27.43724,-58.985178||||
27|Ansia de luz|27-10-1961|Blotta, Herminio|Argentina|Bronce|27.jpg|Arturo Illia 99|-27.45337,-58.987388||||
28|José Hernández|0-0-1998|Blotta, Herminio|Argentina|Cemento|28.jpg|Av. Laprida 700 al 800|-27.450376,-58.973274||||
29|Chaco|30-7-1969|Bonome, Rodrigo|Argentina|Fuente mural - Mosaico veneciano|29.jpg|Plaza 25 de Mayo|-27.450552,-58.986808||||
30|Hacha ceremonial|19-7-1998|Botero, Germán|Colombia|Mármol travertino y metal|30.jpg|Plazoleta Aldo y Efraín Boglietti|-27.445458,-58.977893|Premio Consalud - Segunda Trienal Americana de Escultura|||
31|Maternidad|0-0-1991|Vozzo, Hilario|Argentina|Cemento patinado|31.jpg|Arbo y Blanco 120|-27.456759,-58.982412||||
32|Figura||Bucci, Ermando|Argentina|Cemento|32.jpg|Frondizi 47|-27.452342,-58.986049||||
33|Grupo escultórico||Budini, Miguel Angel|Argentina|Cemento|33.jpg|Roque Saenz Peña 453|-27.457014,-58.987782||||
34|Ritual rupestre del próximo milenio||Bustos Navarro, Carlos|Argentina|Madera, resina y metal|34.jpg|Av. Sabin|-27.432361,-58.980505|Premio del Público - Concurso Milenio|||
35|Sin título||Bustos Navarro, Carlos|Argentina|Chapa|35.jpg|Entrada Aeropuerto Internacional Resistencia|-27.444047,-59.024619||||
36|Sin título||Bustos Navarro, Carlos|Argentina|Chapa|36.jpg|Entrada Aeropuerto Internacional Resistencia|-27.444511,-59.024968||||
37|Canto americano||Bustos Navarro, Carlos|Argentina|Piedra reconstituído|37.jpg|Necochea 302|-27.451206,-58.991879||||
39|Ofrenda americana|28-7-1993|Caner, Fausto|Argentina|Lava volcánica|39.jpg|Arturo Illia 500|-27.45644,-58.983925||||
40|Mari||Caner, Fausto|Argentina|Cemento|40.jpg|Santa María de Oro 285|-27.452585,-58.989828||||
41|Trilogía de máscaras||Carletti, José|Desconocido|Piedra|41.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.444554,-59.049145||||
42|Comunicador de emociones III||Carrasco, Ted|Bolivia|Mármol travertino|42.jpg|Av. De los Inmigrantes 1001 - Museum |-27.438676,-58.981632|Premio Fundación Andreani - Primera Bienal Internacional de Escultura|||
